Country,Pop growth,Pop growth 2004,Price index,Carbon Dioxide 2003,Export 1990,Export 2004,Elec 2003,GDP,GDP PPP,GDP pc,GDP pc growth rate,Fem Econo Rate,Fem Econo 1990,Fem Econo 2004,Health Exp,Babies,Internet 1990,Import 1990,Import 2004,Tertiary female ratio,Babies immunized,Manufactured Exp 2004,Foreign invest 2004,Military 2004,Public Health 2003,Private Health 2003,Primary export 2004,Public Health,Refugees asylum,Refugees origin,Armed forces,Parliament Women,Female Male income,House women 2006,Pop 1975,Pop 2004,Pop 2015,Tuberculosis detected,Tuberculosis cured 2004,Trad fuel,ODA pc donnor 2004,ODA to least dev 1990,ODA to least dev 2004,ODA received,ODA received pc
Ukraine,-0.1,-1.1,73.3,6.6,28,61,3683,64.8,303.4,1366,-3.2,49.9,87,79,305,5,0,29,54,1.19,99,67,2.6,2.6,3.8,1.9,32,3.8,2,84,188,7.1,0.53,7.1,49,47,41.8,63,79,46989,0,0,0,360.1,7.7
Lebanon,1,1,15.5,5.4,18,21,2829,21.8,20.7,6149,3.7,31.7,100,40,730,6,0,100,41,1.12,96,68,1.3,3.8,3,7.2,31,3,1,18,72,4.7,0.31,4.7,2.7,3.5,4,82,92,3540,0,0,0,264.8,74.8
Kazakhstan,0.2,0.6,33.6,10.7,37,55,4114,40.7,111.6,2717,1.7,65,106,87,315,8,0,38,46,1.38,99,16,10.1,1,2,1.5,84,2,7,4,66,8.6,0.63,10.4,14.1,14.8,14.9,79,75,14839,0,0,0,265,17.9
Armenia,0.2,-0.2,31.4,1.1,35,39,1375,3.1,12.4,1017,2.7,48.1,67,79,302,7,0,46,53,1.21,92,62,7.1,2.6,1.2,4.8,38,1.2,220,14,48,5.3,0.63,5.3,2.8,3,3,44,77,3026,0,0,0,254.1,84
China,1.2,0.6,5.5,3.2,19,34,1440,1931.7,7642.3,1490,8.9,69.2,95,84,278,6,0,16,31,0.84,84,91,2.8,2.4,2,3.6,8,2,299,124,2255,20.3,0.64,20.3,927.8,1308,1393,63,94,1307989,0,0,0,1661.1,1.3
Peru,2.1,1.4,16.6,1,16,21,868,68.6,156.5,2490,2.1,58.2,124,71,233,11,0,14,18,1.03,89,20,2.6,1.2,2.1,2.3,80,2.1,1,5,80,29,0.41,29,15.2,27.6,32.2,83,89,27562,0,0,0,487.4,17.7
Ecuador,2.2,1.4,36,1.8,33,27,950,30.3,51.7,2322,0.2,58.9,181,72,220,16,0,32,29,1.35,99,9,3.8,2.4,2,3.1,91,2,10,1,47,16,0.55,16,6.9,13,15.1,43,84,13040,0,0,0,160.5,12.3
Philippines,2.3,1.6,6.7,1,28,52,655,84.6,376.6,1036,0.9,53.8,114,65,174,20,0,33,51,1.28,80,55,0.6,0.9,1.4,1.8,10,1.4,0,0,106,15.8,0.6,15.7,42,81.6,96.8,73,88,81617,0,0,0,462.8,5.7
Jordan,3.6,2,2.8,3.2,62,48,1524,11.5,25.5,2117,0.5,27,153,35,440,10,0,93,80,1.1,99,72,5.4,8.2,4.2,5.2,28,4.2,1,2,101,7.9,0.3,5.5,1.9,5.6,7,79,87,5561,0,0,0,581.4,104.5
Tunisia,2,1,3.8,2.1,44,45,1200,28.2,77.2,2838,3.2,27.9,134,37,409,7,0,51,48,1.36,95,78,2.1,1.5,2.5,2.9,22,2.8,0,3,35,19.3,0.28,22.8,5.7,10,11.1,96,91,9995,0,0,0,327.7,32.8
Fiji,1.3,0.6,3.1,1.3,62,35,627,2.6,5.1,3125,1.4,51.4,105,63,220,10,0,67,43,1.2,62,45,-0.4,1.2,2.3,1.4,55,2.3,73,1,4,11.7,0.48,11.3,0.6,0.8,0.9,58,86,841,0,0,0,63.9,76
Paraguay,2.8,2.1,11.5,0.7,33,36,1113,7.3,29,1220,-0.8,64.2,124,76,301,9,0,39,37,1.37,89,13,1.3,0.7,2.3,5,87,2.3,0,0,10,9.6,0.41,10,2.7,6,7.6,21,85,6017,0,0,0,0.3,47.7
Turkey,1.9,1.2,68.4,3.1,13,29,1979,302.8,556.1,4221,1.6,27.8,81,36,528,16,0,18,35,0.73,81,85,0.9,3.1,5.4,2.2,15,5.4,2,170,515,4.4,0.35,4.4,41.2,72.2,82.6,3,93,72220,0,0,0,257,3.6
Sri Lanka,1.3,0.7,9.5,0.5,29,36,407,20.1,85.2,1033,3.8,35,78,45,121,22,0,38,45,0.81,96,74,1.2,2.8,1.6,1.9,26,1.6,0,108,111,4.9,0.42,4.9,14,20.6,22.3,70,81,20570,0,0,0,519.1,25.2
Dominican Republic,1.9,1.3,9.8,2.5,34,50,1532,18.7,65.3,2130,4.2,45.5,125,55,335,11,0,44,49,1.64,79,34,3.5,0.5,2.3,4.7,66,2.3,73,0,25,15.4,0.42,17.3,5.1,8.8,10.1,71,81,8768,0,0,0,86.9,9.9
Belize,2.3,1.8,1.7,3,62,52,708,1.1,1.9,3870,2.6,42.4,133,52,309,6,0,60,65,2.47,95,13,11.7,2.1,2.2,2.3,86,2.2,1,0,1,11.9,0.39,6.7,0.1,0.3,0.3,60,89,264,0,0,0,7.4,27.9
"Iran, Islamic Rep. of",2.5,1.4,22,5.6,22,32,2304,163.4,504.2,2439,2.3,37.2,173,50,498,7,0,24,30,1.1,96,9,0.3,4.5,3.1,3.4,91,3.1,716,99,545,4.1,0.38,4.1,33.3,68.8,79.9,58,84,68803,0,0,0,189.4,2.8
Georgia,-0.3,-0.7,13.9,0.8,40,31,1566,5.2,12.8,1151,-1,51.1,74,67,174,6,0,46,47,1.03,86,37,9.6,1.4,1,3,63,1,2,7,11,9.4,0.37,9.4,4.9,4.5,4.2,79,66,4518,0,0,0,315.4,69.8
Azerbaijan,1.3,0.8,76.8,3.5,44,50,2815,8.5,34.5,1026,5.5,59.6,94,81,140,11,0,39,74,0.87,98,10,41.7,1.8,0.9,2.7,89,0.9,3,234,67,12.3,0.64,12.3,5.7,8.4,9.1,47,70,8355,0,0,0,175.6,21
El Salvador,1.7,1.5,6.2,1,19,27,663,15.8,34.1,2340,1.8,46.7,92,61,378,13,0,31,44,1.22,93,60,2.9,0.7,3.7,4.4,40,3.7,0,4,16,16.7,0.43,16.7,4.1,6.8,8,57,88,6762,0,0,0,211.5,31.3
Algeria,2.4,1.5,11.6,5.1,23,40,929,84.6,213.7,2616,0.9,34.8,154,44,186,7,0,25,26,1.09,81,2,1,3.4,3.3,0.8,98,3.3,94,12,138,5.3,0.33,6.2,16,32.4,38.1,106,90,32358,0,0,0,312.6,9.7
Guyana,0.1,-0.1,5.6,2.2,63,96,1172,0.8,3.3,1047,1.5,43.3,119,53,283,12,0,80,106,1.94,88,30,3.8,2.1,4,0.8,70,4,73,0,1,30.8,0.41,30.8,0.7,0.8,0.7,27,57,750,0,0,0,144.6,192.7
Jamaica,0.9,0.4,17.3,4.1,48,41,2696,8.9,11,3352,-0.1,54.8,84,73,216,9,0,52,58,2.29,80,65,6.8,0.7,2.7,2.6,35,2.7,73,0,3,13.6,0.57,11.7,2,2.6,2.7,79,53,2639,0,0,0,75.4,28.6
Cape Verde,2,2.2,4.2,0.3,13,31,100,0.9,2.8,1915,3.5,34.1,82,44,185,13,0,44,64,1.09,69,88,2.2,0.7,3.4,1.2,66,3.4,73,0,1,15.3,0.35,15.3,0.3,0.5,0.6,54,76,495,0,0,0,139.8,282.4
Syrian Arab Republic,3.1,2.3,4.9,2.7,28,35,1683,24,67.1,1293,1.5,38,133,44,116,6,0,28,34,0.81,98,11,1.1,6.6,2.5,2.6,87,2.5,26,16,308,12,0.33,12,7.5,18.6,23.8,46,88,18582,0,0,0,110.2,5.9
Indonesia,1.7,1,13.5,1.4,25,31,498,257.6,785.2,1184,1.8,50.7,101,60,113,9,0,24,27,0.79,72,56,0.4,1.1,1.1,2,44,1.1,0,34,302,11.3,0.45,11.3,134.4,220.1,246.8,53,87,220077,0,0,0,84.1,0.4
Viet Nam,1.9,1.2,3,0.9,36,66,503,45.2,225.5,550,5.5,72.4,98,93,164,9,0,45,74,0.77,97,53,3.6,2.1,1.5,3.9,46,1.5,2,357,455,27.3,0.71,27.3,48,83.1,95,89,92,83123,0,0,0,1830.3,22
Kyrgyzstan,1.6,1.1,14.7,1,29,43,2417,2.2,9.9,433,-1.3,55.1,94,74,161,7,0,50,53,1.19,99,43,3.5,2.9,2.2,3.1,57,2.2,3,3,13,0,0.58,0,3.3,5.2,5.9,62,85,5204,0,0,0,258.2,49.6
Egypt,2.1,1.8,6.8,2,20,29,1340,78.8,305.9,1085,2.5,20.1,76,28,235,12,0,33,29,0.81,97,31,1.6,2.8,2.5,3.3,64,2.2,89,6,469,3.8,0.23,2,39.3,72.6,88.2,61,80,72642,0,0,0,1457.7,20.1
Nicaragua,2.5,1.9,20.4,0.7,25,26,492,4.6,19.5,847,0.1,35.5,100,41,208,12,0,46,54,1.11,84,11,5.5,0.7,3.7,4,89,3.7,0,1,14,20.7,0.32,20.7,2.6,5.4,6.6,87,84,5376,0,0,0,1232.4,229.2
"Moldova, Rep. of",0.3,-0.2,17,1.7,48,51,1900,2.6,7.3,615,-5.3,56.6,92,81,177,5,0,51,82,1.36,96,36,3.1,0.4,3.9,3.3,64,3.9,0,12,7,21.8,0.63,21.8,3.8,4.2,4.1,59,65,4218,0,0,0,117.9,28
Bolivia,2.2,1.7,6.6,0.9,23,31,481,8.8,24.5,974,1.2,62.1,128,74,176,9,0,24,26,0.81,64,14,1.3,2,4.3,2.4,86,4.3,1,0,33,14.6,0.57,16.9,4.8,9,10.9,71,81,9009,0,0,0,766.6,85.1
Mongolia,2,1.2,26.3,3.1,24,75,1273,1.6,5.2,641,2.4,53.9,97,66,140,8,0,53,87,1.64,96,38,5.8,2,4.3,2.4,62,4.3,0,1,9,6.6,0.51,6.6,1.4,2.6,3,80,88,2614,0,0,0,261.9,100.2
Honduras,2.9,2,15.7,0.9,36,37,694,7.4,20.3,1046,0.2,52.2,156,59,184,14,0,40,54,1.46,92,27,4,0.7,4,3.1,73,4,0,1,12,23.4,0.45,23.4,3,7,8.8,83,87,7048,0,0,0,641.7,91
Guatemala,2.4,2.3,8.8,0.9,21,18,501,27.5,53,2233,1.3,33.7,115,41,235,13,0,25,32,0.72,75,42,0.6,0.4,2.1,3.3,58,2.1,0,3,29,8.2,0.32,8.2,6.2,12.3,15.9,56,91,12295,0,0,0,218.4,17.8
South Africa,2.1,0.1,7.7,7.8,24,27,4595,212.8,509.3,4675,0.6,46.4,85,59,669,15,0,19,27,1.17,81,58,0.3,1.4,3.2,5.2,42,3.2,30,0,56,32.8,0.45,32.8,25.9,47.2,47.9,83,67,47208,0,0,0,617.3,13.1
Morocco,2,1.4,2.9,1.2,26,33,649,50,128.5,1678,1.1,26.7,109,33,218,11,0,32,39,0.87,95,69,1.5,4.5,1.7,3.4,31,1.7,0,3,201,6.4,0.25,10.8,17.3,31,36.2,80,86,31020,0,0,0,705.9,22.8
Gabon,2.8,1.5,3.3,0.9,46,61,1229,7.2,9,5306,-0.1,61.5,99,75,255,14,0,31,40,0.53,55,7,4.5,1.7,2.9,1.5,93,2.9,9,0,5,11.9,0.57,9.2,0.6,1.4,1.6,81,34,1362,0,0,0,37.8,27.7
Namibia,2.8,1,20.3,1.2,52,46,697,5.7,14.9,2843,1.3,47,96,74,359,14,0,67,45,1.14,70,41,3.4,3.1,4.5,1.9,58,4.7,5,1,9,26.9,0.57,26.9,0.9,2,2.2,88,63,2009,0,0,0,179.1,89.1
India,1.9,1.3,7.5,1.2,7,19,594,691.2,3389.7,640,4,34,94,41,82,30,0,9,23,0.66,56,73,0.8,3,1.2,3.6,26,1.2,139,16,1325,9.2,0.31,8.3,620.7,1087.1,1260.4,57,86,1087124,0,0,0,691.2,0.6
Cambodia,2.3,1.9,4,1.2,6,65,9,4.9,33.4,354,5,74.4,96,93,188,11,0,13,76,0.45,80,97,2.7,2.2,2.1,8.8,3,2.1,0,18,124,11.4,0.74,9.8,7.1,13.8,17.1,61,93,13798,0,0,0,478.3,34.7
Botswana,2.4,-0.4,9.4,2.3,55,40,697,9,17.6,5073,4.2,45.7,80,67,375,10,0,50,32,0.85,90,34,0.5,3.8,3.3,2.3,66,3.3,3,0,9,11.1,0.36,11.1,0.9,1.8,1.7,67,77,1769,0,0,0,39,22.1
Lao People's Dem.  Rep.,2.2,2.1,29,0.2,12,29,135,2.5,11.3,423,4.2,54,101,67,56,14,0,25,42,0.63,36,34,0.7,2.1,1.2,2,66,1.2,0,24,29,22.9,0.52,22.9,3,5.8,7.3,55,79,5792,0,0,0,269.6,46.5
Pakistan,2.8,2,7.7,0.8,16,16,493,96.1,338.4,632,1.6,32,115,38,48,19,0,23,15,0.8,67,85,1.2,3.4,0.7,1.7,15,0.7,1085,30,619,20.4,0.29,21.3,68.3,154.8,193.4,27,75,154794,0,0,0,1421,9.2
Ghana,2.6,1.9,26.3,0.4,17,35,285,8.9,48.5,409,1.9,70.5,92,94,98,11,0,26,54,0.48,83,14,1.6,0.8,1.4,3.1,85,1.4,54,18,7,10.9,0.71,10.9,10.2,21.7,26.6,37,66,21664,0,0,0,1357.6,62.7
Bangladesh,2.2,1.7,4.9,0.3,6,15,145,56.6,260.4,406,2.5,52.9,84,61,68,30,0,14,21,0.5,77,90,0.8,1.2,1.1,2.3,10,1.1,21,7,126,14.8,0.46,14.8,73.2,139.2,168.2,44,85,139215,0,0,0,1404.1,10.1
Nepal,2.3,1.9,7,0.1,11,17,91,6.7,39.6,252,2.1,49.7,103,63,64,21,0,22,31,0.41,73,74,0,1.7,1.5,3.8,26,1.5,126,2,69,6.7,0.5,5.9,13.5,26.6,32.7,67,87,26591,0,0,0,427.3,16.1
Papua New Guinea,2.4,1.8,10.3,0.4,41,71,251,3.9,14.7,677,0.5,71.8,100,97,132,11,0,49,60,0.56,44,6,0.7,0.6,3,0.4,94,3,10,0,3,0.9,0.73,0.9,2.9,5.8,7,19,58,5772,0,0,0,266.3,46.1
